Team,Player,Score,OG
1,Mac,0,0
1,Boat,0,0
1,Yo,1,0
1,Nut,0,1
1,Kee,0,0
2,Tle,3,0
2,Toonnix,1,0
2,Gen,1,0
2,Oak,2,0
2,Win,0,0
